[INFO ] 2019-10-06T07:22:02,691Z [Test worker] cordapp.JarScanningCordappLoader.<init> - Loading CorDapps from RestrictedURL(url=file:/Users/aubs/WORK/CORDA/bfn-dlt-repo/bfn-corda/workflows/build/generated-custom-cordapps/20191006-072201.191/custom-cordapp_1_4_995d6ec4-15af-49f7-9e7d-7f30ec81567f.jar, rootPackageName=null) {}
[INFO ] 2019-10-06T07:22:02,787Z [Test worker] cordapp.JarScanningCordappLoader.scanCordapp - Scanning CorDapp in file:/Users/aubs/WORK/CORDA/bfn-dlt-repo/bfn-corda/workflows/build/generated-custom-cordapps/20191006-072201.191/custom-cordapp_1_4_995d6ec4-15af-49f7-9e7d-7f30ec81567f.jar {}
[INFO ] 2019-10-06T07:22:07,236Z [Test worker] internal.TestCordappImpl.apply - Generating CorDapp jar from local project in /Users/aubs/WORK/CORDA/bfn-dlt-repo/bfn-corda/workflows ... {}
[INFO ] 2019-10-06T07:22:07,533Z [Connection worker] internal.TestCordappImpl.statusChanged - Build {}
[INFO ] 2019-10-06T07:22:08,919Z [Connection worker] internal.TestCordappImpl.statusChanged - Starting Gradle Daemon {}
[INFO ] 2019-10-06T07:22:09,844Z [Connection worker] internal.TestCordappImpl.statusChanged - Connecting to Gradle Daemon {}
[INFO ] 2019-10-06T07:22:09,893Z [Connection worker] internal.TestCordappImpl.statusChanged - Starting Gradle Daemon {}
[INFO ] 2019-10-06T07:22:09,894Z [Connection worker] internal.TestCordappImpl.statusChanged - Build {}
[INFO ] 2019-10-06T07:22:10,680Z [Connection worker] internal.TestCordappImpl.statusChanged - Run build {}
[INFO ] 2019-10-06T07:22:10,692Z [Connection worker] internal.TestCordappImpl.statusChanged - Initializing build {}
[INFO ] 2019-10-06T07:22:10,692Z [Connection worker] internal.TestCordappImpl.statusChanged - Load build {}
[INFO ] 2019-10-06T07:22:10,703Z [Connection worker] internal.TestCordappImpl.statusChanged - Evaluate settings {}
[INFO ] 2019-10-06T07:22:10,919Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script settings.gradle to settings 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:11,115Z [Connection worker] internal.TestCordappImpl.statusChanged - Evaluate settings {}
[INFO ] 2019-10-06T07:22:11,116Z [Connection worker] internal.TestCordappImpl.statusChanged - Finalize build cache configuration {}
[INFO ] 2019-10-06T07:22:11,127Z [Connection worker] internal.TestCordappImpl.statusChanged - Evaluate settings {}
[INFO ] 2019-10-06T07:22:11,127Z [Connection worker] internal.TestCordappImpl.statusChanged - Load build {}
[INFO ] 2019-10-06T07:22:11,127Z [Connection worker] internal.TestCordappImpl.statusChanged - Initializing build {}
[INFO ] 2019-10-06T07:22:11,127Z [Connection worker] internal.TestCordappImpl.statusChanged - Configure build {}
[INFO ] 2019-10-06T07:22:11,127Z [Connection worker] internal.TestCordappImpl.statusChanged - Load projects {}
[INFO ] 2019-10-06T07:22:11,320Z [Connection worker] internal.TestCordappImpl.statusChanged - Configure build {}
[INFO ] 2019-10-06T07:22:11,320Z [Connection worker] internal.TestCordappImpl.statusChanged - Initializing build {}
[INFO ] 2019-10-06T07:22:11,320Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring projects {}
[INFO ] 2019-10-06T07:22:11,320Z [Connection worker] internal.TestCordappImpl.statusChanged - Execute 'rootProject {}' action {}
[INFO ] 2019-10-06T07:22:11,320Z [Connection worker] internal.TestCordappImpl.statusChanged - Cross-configure project : {}
[INFO ] 2019-10-06T07:22:11,321Z [Connection worker] internal.TestCordappImpl.statusChanged - Execute 'rootProject {}' action {}
[INFO ] 2019-10-06T07:22:11,321Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring projects {}
[INFO ] 2019-10-06T07:22:11,343Z [Connection worker] internal.TestCordappImpl.statusChanged - Configure project : {}
[INFO ] 2019-10-06T07:22:11,343Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring root project {}
[INFO ] 2019-10-06T07:22:11,399Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.help-tasks to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:11,410Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring root project {}
[INFO ] 2019-10-06T07:22:11,410Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:11,774Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve dependencies of :classpath {}
[INFO ] 2019-10-06T07:22:12,069Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:12,069Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,092Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve cordapp.jar (net.corda.plugins:cordapp:4.0.45) {}
[INFO ] 2019-10-06T07:22:12,092Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve cordformation.jar (net.corda.plugins:cordformation:4.0.45) {}
[INFO ] 2019-10-06T07:22:12,092Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve quasar-utils.jar (net.corda.plugins:quasar-utils:4.0.45) {}
[INFO ] 2019-10-06T07:22:12,092Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve cordapp.jar (net.corda.plugins:cordapp:4.0.45) {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve quasar-utils.jar (net.corda.plugins:quasar-utils:4.0.45) {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve cordformation.jar (net.corda.plugins:cordformation:4.0.45) {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve cordapp.jar (net.corda.plugins:cordapp:4.0.45) {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve spring-boot-gradle-plugin.jar (org.springframework.boot:spring-boot-gradle-plugin:2.0.4.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve commons-io.jar (commons-io:commons-io:2.6) {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve config.jar (com.typesafe:config:1.3.1) {}
[INFO ] 2019-10-06T07:22:12,093Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve snakeyaml.jar (org.yaml:snakeyaml:1.19) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve files of :classpath {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve spring-boot-loader-tools.jar (org.springframework.boot:spring-boot-loader-tools:2.0.4.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve dependency-management-plugin.jar (io.spring.gradle:dependency-management-plugin:1.0.6.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve commons-compress.jar (org.apache.commons:commons-compress:1.14) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve dependency-management-plugin.jar (io.spring.gradle:dependency-management-plugin:1.0.6.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve spring-core.jar (org.springframework:spring-core:5.0.8.RELEASE) {}
[INFO ] 2019-10-06T07:22:12,094Z [Connection worker] internal.TestCordappImpl.statusChanged - Resolve dependency-management-plugin.jar (io.spring.gradle:dependency-management-plugin:1.0.6.RELEASE) {}
